post_id,owner_id,PostEngagement,Content,Comments,Male,Female,Age,Gadget,Smartphone,Laptop,Smartwatch,Headphone,Tablet,Camera,Drone,Home_Appliance,Gaming_Console,Wearable_Device,Fitness_Tracker,VR_Headset,Smart_Home,Power_Bank,Bluetooth_Speaker,Action_Camera,E_Reader,Desktop_Computer,Projector
240003,840001,432.0,แนะนำ Airpod Pro 2 หูฟังที่ดี(แต่แพง)    AirPods Pro 2 มาพร้อมกับชิป H2 ตัวใหม่ เป็นเหมือนขุมพลังที่สร้างสรรค์ประสิทธิภาพด้านเสียงที่ดีกว่าเดิมมาก มีไดรเวอร์และตัวขยายสัญญาณที่ทำให้เสียงนั้นชัด คม เบสทุ้ม ลึก และเสียงที่ได้โดยรวมก็ดีกว่าเดิมแบบลืมรุ่นแรกไปได้เลย,earthsrichok@gmail.com; good,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840001,840001,86.0,"มาพร้อมกับหน้าจอ AMOLED ขนาด 6.67 นิ้ว ความละเอียด 1220 x 2712 pixels, รองรับอัตราการรีเฟรช 144Hz รองรับ HDR10+, Dolby Vision สเปคจอโดยรวมจะมีความคล้ายกับรุ่นก่อนหน้า Xiaomi 13T Pro แต่ในปีนี้มีการอัปเกรดเรื่องของความสว่างหน้าจอให้สูงขึ้นเป็น 4,000 นิต สว่างแสบตา ใช้งานในแสงแดดจ้า ๆ ได้สบายเลยในด้านการถ่ายภาพมาพร้อมกับกล้องหลัง 3 ตัว ประกอบด้วย กล้องหลักเซนเซอร์ Light Fusion 900 ความละเอียด 50MP (f/1.6) ตามมาด้วยกล้องเทเลโฟโต ความละเอียด 50MP (f/2.0) รองรับการซูมแบบออปติคัล 2.6x และการซูมแบบดิจิทัลสูงสุด 30x และกล้องอัลตราไวด์ ความละเอียด 12MP มุมมองกว้าง 129 องศา ส่วนกล้องหน้ามีความละเอียดอยู่ที่ 32MPอีกจุดหนึ่งที่น่าสนใจคือ รอบนี้ Xiaomi 14T Pro ยังมาพร้อมกับฟีเจอร์ AI อย่าง Advanced AI และ Gemini ของ Google มาให้เลือกใช้ตามยุคตามสมัย ทั้งฟีเจอร์​ Circle to Search, การสรุปโน้ต, แปลภาษาแบบเรียลไทม์, การถอดข้อความจากคลิปเสียง, แต่งภาพ, และ AI Portrait เป็นต้น",Nice design; wow,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290002,780010,11.0,"Galaxy Watch   Ultra  สมาร์ทวอชตัวจริงที่ช่วยต่อติดให้ขีวิตงานขึ้น เป็นสมาร์ทวอชที่แทบจะเป็นมือถืออีกเครื่องได้  แต่ สมาร์ทวอช ที่ทำด้วยวัสดุพรีเมี่ยม รูปลักษณ์สวยงาม และมาพร้อมกับ AI ที่จะช่วยให้ผู้ใช้งานสามารถ ติดตามและพัฒนาสุขภาพตัวเองได้ตลอดเวลาการเช็คสุขภาพหัวใจและการนอน แบบง่ายๆมาไว้บนข้อมือ ได้ทุกลุคทุกสไตล์ ด้วย Galaxy Watch เรือนเดียว

ขนาดหน้าจอ 47 mm
จอวัสดุพรีเมี่ยม แข็งแรง ทนทาน
ดีไซน์สวยเป็นเอกลักษณ์ของ Galaxy Watch",good,0,1,21.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320002,1140001,31.0,"ยกระดับการเล่นเกมส์อย่างมีประสิทธิภาพขึ้นไปอีกขั้นด้วย Lenovo LOQ โน๊ตบุ๊คเกมมิ่งที่ถูกออกแบบมาเพื่อเล่นเกมส์ประสิทธิภาพการทำงานและทุกสิ่งนอกจากนี้ มาพร้อมกับ CPU AMD Ryzen 7000 Series และการ์ดจอ NVIDIA GeForce RTX Series ที่ให้ความรวดเร็ว รวมถึงความคล่องตัวในการพิมพ์ด้วยคีย์บอร์ดอันเป็นเอกลักษณ์ของ Lenovo ตัวเครื่องที่ทนทานดั้บการออกแบบเพื่อความเรียบง่ายและใช้งานได้จริงด้วยขนาดที่บางลง

AMD Ryzen 5 7640HS (4.3GHz up to 5.0GHz, 6C/12T, 16MB L3 Cache)
8GB DDR5-5600 SO-DIMM
SSD 512GB NVMe PCIe Gen4x4
NVIDIA GeForce RTX 3050 Laptop 6GB GDDR6",earthsrichok@gmail.com; kk,1,0,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380005,780010,7.0,"MSI Thin 15 B12U  โน๊ตบุ๊คเกมมิ่งที่เป็นเพื่อนที่สมบูรณ์สำหรับการเดินทางของคุณ! ด้วยฮาร์ดแวร์ที่อัพเกรด ล้อมรอบด้วยพลังและประสบการณ์โลกเกมได้อย่างรวดเร็วด้วย Thin 15!

CPU: Intel Core i5-12450H  (3.10 GHz up to 4.40 GHz, 8C(4P+4E)/12T, 12MB Intel Smart Cache)
Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6
RAM: 8GB DDR4-3200
SSD: 512GB NVMe PCIe 4.0 x4",,0,1,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380008,1200001,28.0,"หน้าจอแสดงผลขนาด 14.0"" ระดับ FHD IPS

หน่วยประมวลผล AMD Ryzen 7 7730U Processor

หน่วยประมวลผลกราฟิก AMD Radeon Graphics (Integrated)

มาพร้อม SSD ความจุ 512GB และ RAM DDR4 16GB

มาพร้อมระบบปฏิบัติการ Windows 11 Home

มีซอฟต์แวร์ Microsoft Office Home & Student 2021 ในเครื่อง",akqndp; earthsrichok@gmail.com; kxtyqh; mpeits; vijomc,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380009,1200001,1.0,"Display : 23.8"" IPS

Response Time : 1ms (VRB)

Resolution : 1920 x 1080 @100 Hz 

Contrast Ratio : 1000:1 

Interface : USB Type C x 1, HDMI x 1 

มาพร้อมลำโพงคู่ในตัว 

รองรับการติดตั้งกับขาแขวนคิดผนัง",,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1380010,1200001,33.0,"MSI Raider GE78 HX 14V  ที่มาพร้อมกับโปรเซสเซอร์ Intel Core i9 14900HX ปลดปล่อยประสิทธิภาพเต็มรูปแบบสำหรับแล็ปท็อป ทั้งเรื่องการทำงานและการเล่นเกม ด้วยเทคโนโลยี MSI Overboost สุดพิเศษ

CPU: Intel Core i9-14900HX  (up to 5.60 GHz, 24C(8P+16E)/32T, 36MB Intel Smart Cache)

Graphics: NVIDIA  GeForce RTX 4080 12GB GDDR6

RAM: 32GB (2x16GB) DDR5-5600

SSD: 2TB NVMe PCIe 4.0 x4",Good; earthsrichok@gmail.com,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380011,1200001,19.0,"MSI Prestige 16 AI Studio B1V พบประสบการณ์การทำงานใหม่ด้วยประสิทธิภาพของ AI ด้วย Intel Core Ultra สมรรถนะระดับพรีเมียม ให้ประสิทธิภาพที่ยอดเยี่ยมไม่ว่าคุณจะกำลังสร้างผลงาน วางแผน หรือเดินทาง 

CPU: Intel Core Ultra 7 155H (3.8 GHz up to 4.8 GHz, 16C(6P+8E+2LPE)/22T, 24MB Intel Smart Cache)

Graphics: NVIDIA GeForce RTX 4060 8GB GDDR6

RAM: 16GB LPDDR5-6400

SSD: 1TB NVMe PCIe 4.0 x4",,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380018,1110001,12.0,"ฟีเจอร์เด่น AULA F75
 เชื่อมต่อ 3 โหมด Type-C / Wireless 2.4G / Bluetooth
Ultra low latency ชิพประมวลผลใหม่ เชื่อมต่อไร้สายตอบสนองรวดเร็วยิ่งขึ้น
LEOBOG Reaper Mechanical Linear Switch / LEOBOG Graywood v.3 Mechanical Linear Switch  80 คีย์ รองรับการกด 60 ล้านครั้ง
Factory lubricated shaft สวิตซ์ลูปจากโรงงาน
Hot- swappable ถอดเปลี่ยนเปลี่ยนสวิตซ์ โดยไม่ต้องบัตกรี รองรับ 3PIN / 5PIN
คีย์บอร์ดขนาด 75% โครงสร้างคีย์บอร์ดแบบ Gasket Structure
Metal knob dual mode ปุ่มหมุนปรับแสงและปรับเสียงวัสดุ Metal
Leaf spring Gasket structure ผสานแผ่นซิลิโคลน ให้ความยืดหยุ่น นุ่มมือ
PE silencer แผ่นซับเสียง ให้เสียงการกดที่แน่น หนึบ
Five Layers of filling silencerให้ความรู้สึกการกดและเสียงกดที่ดียิ่งขึ้น
Satelite axes and balance bars ให้บาลาน์ปุมกดขนาดใหญ่ และลดเสียงรบกวน
คีย์แคปวัสดุ ABS ให้ความทนทาน
Two-Color PTB keycaps
ระบบไฟ RGB backlight 16.8 ล้านสี
RGB dynamic music groove แสงไฟ 16 ล้านสี 16 โหมดไฟ และ 10 Music rhythm
FN key multifunction / Windows key / Side function keys
ปรับแต่งระบบด้วย Firmware Driver
ปรับ Macro แบบใส่คลิกซ้ายขวา พร้อมฟังก์ชั่นพิเศษ
แบตเตอรี่ 4,000mAh
รองรับ OS WIN XP/7/8/10/11/Android/IOS/MAC
รับประกัน 2 ปี",สุดตึง ฮะพี่,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
